title,description,genres
After,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.,"Drama, Romance"
Caligula,"A dramatization of the ascent to Caesar and subsequent reign of Caligula, one of the most notorious leaders of ancient Rome. We see his ambition, his scheming, his perversion and decadence, his brutality and his lunacy.","Drama, History"
Grown Ups 2,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you.",Comedy
The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","Action, Horror, Mystery"
Masters of the Universe,The heroic warrior He-Man battles against the evil lord Skeletor and his armies of darkness for control of Castle Grayskull.,"Action, Adventure, Fantasy"
The Circle,"A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.","Drama, Sci-Fi, Thriller"
The Nun,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,"Horror, Mystery, Thriller"
Geostorm,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.","Action, Sci-Fi, Thriller"
Things Heard & Seen,"An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.","Drama, Horror, Mystery"
Rocky V,"Reluctantly retired from fighting, Rocky takes charge of Mickey's gym and agrees to train a young protégé who's hungry for success.","Drama, Sport"
Robin Hood,A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,"Action, Adventure, Drama"
Red Dawn,A group of teenagers look to save their town from an invasion of North Korean soldiers.,"Action, Drama"
Spring Breakers,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.","Crime, Drama, Thriller"
Point Break,"A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.","Action, Adventure, Crime"
Sleeping Beauty,"A haunting portrait of Lucy, a young university student drawn into a mysterious hidden world of unspoken desires.","Drama, Mystery, Romance"
The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.","Action, Adventure, Sci-Fi"
Maid in Manhattan,"A Senatorial candidate falls for a hotel maid, thinking she is a socialite, when he sees her trying on a wealthy woman's dress.","Comedy, Drama, Romance"
Daredevil,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,"Action, Crime"
Coming 2 America,The African monarch Akeem learns he has a long-lost son in the United States and must return to America to meet this unexpected heir and build a relationship with his son.,Comedy
The Green Inferno,"A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.","Adventure, Horror"
"I Love You, Beth Cooper","A nerdy valedictorian proclaims his love for Beth Cooper--the hottest, most popular girl in school--during his graduation speech. That very night, she shows up at his door offering to show him the best night of his life.","Comedy, Romance"
Can You Keep a Secret?,"Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller.","Comedy, Romance"
12 Feet Deep,Two sisters are trapped under the fiberglass cover of an Olympic sized public pool and must brave the cold and each other to survive the harrowing night.,"Horror, Thriller"
Tank Girl,"A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega-corporation that dominates the remaining potable water supply of the planet.","Action, Comedy, Sci-Fi"
Aftermath,"A young couple struggling to stay together, when they are offered an amazing deal on a home with a questionable past that would normally be beyond their means. In a final attempt to start fresh as a couple they take the deal.","Drama, Horror, Mystery"
Annie,A foster kid who lives with her mean foster mom sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in.,"Comedy, Drama, Family"
Jupiter Ascending,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,"Action, Adventure, Sci-Fi"
The Witches,A young boy and his grandmother have a run-in with a coven of witches and their leader.,"Adventure, Comedy, Family"
Popeye,The adventures of the famous sailor man and his friends in the seaside town of Sweethaven.,"Adventure, Comedy, Family"
The Silence,"When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven.","Drama, Horror, Sci-Fi"
Sleepwalkers,A mother-and-son team of strange supernatural creatures move to a small town to seek out a young virgin to feed on.,"Fantasy, Horror"
The Wedding Planner,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,"Comedy, Romance"
Swamp Thing,"After a violent incident with a special chemical, a research scientist is turned into a swamp plant monster.","Horror, Sci-Fi"
The Karate Kid Part III,"Ostracised villain John Kreese attempts to gain revenge on Daniel and Miyagi, with the help of a Vietnam War comrade, the wealthy owner of a toxic waste disposal business.","Action, Drama, Family"
Little Nicky,"After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late.","Comedy, Fantasy"
Bliss,"A mind-bending love story following Greg who, after recently being divorced and then fired, meets the mysterious Isabel, a woman living on the streets and convinced that the polluted, broken world around them is a computer simulation.","Drama, Romance, Sci-Fi"
Hypnotic,"A young woman seeking self-improvement enlists the help of a renowned hypnotherapist. But after a handful of intense sessions, she discovers unexpected and deadly consequences.","Mystery, Thriller"
No One Gets Out Alive,"After being forced to take a room in a boardinghouse, an immigrant in search of the American Dream finds herself in a nightmare she can't escape.","Drama, Horror, Mystery"
Congo,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.","Action, Adventure, Mystery"
Resident Evil: Retribution,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,"Action, Horror, Sci-Fi"
The Back-up Plan,"A woman conceives twins through artificial insemination, then meets the man of her dreams on the very same day.","Comedy, Romance"
Honey,"Honey is a sexy, tough music video choreographer who shakes up her life after her mentor gives her an ultimatum: sleep with him or be blacklisted within their industry.","Drama, Music, Romance"
Sleepover,"Desperate to improve their social status, four best friends enter into an all-night scavenger hunt against the popular clique in their school.","Comedy, Family, Romance"
Land of the Lost,"A space-time vortex sucks scientist Rick Marshall, his assistant Holly and a survivalist Will into a world populated by dinosaurs and painfully slow creatures called Sleestaks.","Action, Adventure, Comedy"
Terminal,"A film noir taking place in a train terminal at night. Add 2 male assassins, female assassin, waitress, teacher, janitor and crime boss. Add revenge. Who says mystery is a lost art?","Comedy, Crime, Drama"
Xanadu,A struggling artist living in Los Angeles meets a girl who may hold the key to his happiness.,"Fantasy, Musical, Romance"
The Stepford Wives,The secret to a Stepford wife lies behind the doors of the Men's Association.,"Comedy, Horror, Sci-Fi"
Max Payne,"Coming together to solve a series of murders in New York City are a police detective and an assassin, who will be hunted by the police, the mob, and a ruthless corporation.","Action, Crime, Drama"
Southland Tales,"During a three-day heat wave just before a huge 4th of July celebration, an action star stricken with amnesia meets up with a porn star who is developing her own reality TV project, and a policeman who holds the key to a vast conspiracy.","Comedy, Drama, Mystery"
The Watcher,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations ... See full summary »","Crime, Drama, Mystery"
One for the Money,"Unemployed and newly-divorced Stephanie Plum lands a job at her cousin's bail-bond business, where her first assignment puts her on the trail of a wanted local cop from her romantic past.","Action, Comedy, Crime"
Flubber,"An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance.","Comedy, Family, Sci-Fi"
3 Ninja Kids,"Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.","Action, Comedy, Family"
D.E.B.S.,"Plaid-skirted schoolgirls are groomed by a secret government agency to become the newest members of the elite national-defense group, D.E.B.S.","Action, Comedy, Romance"
Serving Sara,A process server tries to serve an elusive female target.,"Comedy, Romance"
Loser,"A college student, branded a loser by his roommates and booted from the dorm, falls in love with a coed who has eyes for their condescending professor.","Comedy, Romance"
D-Tox,A lead detective being stalked by a serial killer is asked to check into a clinic treating law enforcement officials who can't face their jobs.,"Crime, Thriller"
The 15:17 to Paris,Three courageous young Americans prevent a terrorist attack on a train bound for Paris.,"Biography, Drama, Thriller"
Police Academy 3: Back in Training,The alumni of Commandant Lassard's Police Academy (1984) return to the school to train new recruits and prevent its closure.,Comedy
Overdrive,"Two car thief brothers, who journey to the south of France for new opportunities, wind up in the cross hairs of the local crime boss.","Action, Adventure, Crime"
Like Mike,"A 13-year-old orphan becomes an NBA superstar after trying on a pair of sneakers with the faded initials ""MJ"" inside them.","Comedy, Family, Fantasy"
By the Sea,A couple tries to repair their marriage while staying at a hotel in France.,"Drama, Romance"
Air Bud,An unexpected player joins the school basketball team - a circus dog who escaped from a cruel master.,"Comedy, Drama, Family"
The Smurfs 2,"The Smurfs team up with their human friends to rescue Smurfette, who has been abducted by Gargamel, since she knows a secret spell that can turn the evil sorcerer's newest creation, creatures called ""The Naughties"", into real Smurfs.","Animation, Adventure, Comedy"
Sinister 2,A young mother and her twin sons move into a rural house that's marked for death.,"Horror, Mystery, Thriller"
What Men Want,"A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts.","Comedy, Fantasy, Romance"
Misconduct,"When an ambitious young lawyer takes on a big case against a powerful and ruthless executive of a large pharmaceutical company, he soon finds himself involved in a case of blackmail and corruption.","Crime, Drama, Mystery"
Acts of Violence,"At a bachelorette party in a nightclub, the bride tells 2 guys offering blow to go away. They abduct her. The groom's 2 big brothers looked after their kid brother as kids and do so now again as veterans, ""looking"" for her and the 2 guys.","Action, Crime, Thriller"
Dangerous Lies,"When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she loves.",Thriller
DeepStar Six,A team of navy personnel stationed at a temporary base at the bottom of the ocean and tasked with setting up nuclear missiles discovers a huge underwater cavern which houses a giant prehistoric creature.,"Action, Horror, Sci-Fi"
Old Dogs,Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.,"Comedy, Family"
Jade,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.","Crime, Drama, Thriller"
Passion,The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.,"Adventure, Drama, Mystery"
Trespass,"As they're held for ransom, a husband and wife's predicament grows more dire amid the discovery of betrayal and deception.","Crime, Drama, Thriller"
Prom Night,"At a high school senior prom, a masked killer stalks four teenagers who were responsible for the accidental death of a classmate six years previously.","Horror, Mystery, Thriller"
View from the Top,A small-town woman tries to achieve her goal of becoming a flight attendant.,"Comedy, Romance"
The Resident,"When a young doctor suspects she may not be alone in her new Brooklyn loft, she learns that her landlord has formed a frightening obsession with her.","Crime, Drama, Horror"
USS Indianapolis: Men of Courage,"During World War II, an American navy ship is sunk by a Japanese submarine leaving 890 crewmen stranded in shark infested waters.","Action, Drama, History"
Slaughterhouse Rulez,An illustrious British boarding school becomes a bloody battleground when a mysterious sinkhole appears at a nearby fracking site unleashing unspeakable horror.,"Action, Comedy, Fantasy"
My Girl 2,"Vada Sultenfuss must go to LA to stay with her Uncle Phil to do some research on her mother's life, but finds much more.","Comedy, Drama, Family"
The Scarlet Letter,An affair between a young woman and a pastor has disastrous consequences.,"Drama, Romance, Western"
The Thinning,"In a future, overcrowded, dystopian society, students with the lowest test scores are culled. Two students discover errors with the test.","Action, Drama, Horror"
The Messengers,"An ominous darkness invades a seemingly serene sunflower farm in North Dakota, and the Solomon family is torn apart by suspicion, mayhem and murder.","Drama, Horror, Mystery"
Fullmetal Alchemist,Two alchemist brothers go on a quest for the Philosopher's Stone after an attempt to revive their dead mother goes horribly wrong.,"Action, Adventure, Fantasy"
Excess Baggage,"A bratty teenager fakes her own kidnapping, but gets mistakenly kidnapped for real instead.","Action, Comedy, Crime"
Slackers,"When geeky Ethan discovers three fellow students scamming the examination system, he blackmails them to win over the college's most popular girl.","Comedy, Romance"
Tomcats,"At the wedding of a friend, the remaining bachelors bet on staying single. Seven years later, one of the two remaining loses $51,000 in Vegas. He must get the other guy married to cash in and pay his debt or die. A cute woman helps him.",Comedy
The Colony,"Forced underground by the next ice age, a struggling outpost of survivors must fight to preserve humanity against a threat even more savage than nature.","Action, Horror, Sci-Fi"
A Good Marriage,"After 25 years of a good marriage, what will Darcy do once she discovers her husband's sinister secret?","Crime, Drama, Thriller"
Bachelorette,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.,"Comedy, Romance"
Beyond Skyline,A tough-as-nails detective embarks on a relentless pursuit to free his son from a nightmarish alien warship.,"Action, Adventure, Sci-Fi"
Spy Hard,"Dick Steele, Agent WD-40 is assigned by his Director, to stop the evil General Rancor from destroying the world. WD-40 believed Rancor was dead and he teams up with the hot KGB Agent Veronique Ukrinsky to find Rancor and save the world.","Action, Comedy"
Balls of Fury,"Down-and-out former professional ping-pong phenom, Randy Daytona, is sucked into a maelstrom when FBI Agent Ernie Rodriguez recruits him for a secret mission. Randy is determined to bounce back and win, and to smoke out his father's killer -- arch-fiend Feng.","Comedy, Crime, Sport"
Tom and Jerry: The Movie,Cat and mouse duo Tom and Jerry reluctantly work together to save a young girl from her evil aunt.,"Animation, Adventure, Comedy"
Hollywood Homicide,Two LAPD detectives who moonlight in other fields investigate the murder of an up-and-coming rap group.,"Action, Comedy, Crime"
Welcome to Mooseport,"A US president who has retired after two terms in office returns to his hometown of Mooseport, Maine and decides to run for Mayor against another local candidate.","Comedy, Romance"
Dunston Checks In,A young boy befriends a larcenous orangutan in a luxury hotel.,"Adventure, Comedy, Family"
Teaching Mrs. Tingle,"The story of a girl who is willing to do anything to become Valedictorian, even if it means murdering the teacher that stands in her way.","Comedy, Thriller"
The Dilemma,A man discovers that his best friend's wife is having an affair.,"Comedy, Drama"
Are You Here,"Two childhood best friends, one a superficial womanizer and the other a barely functioning bipolar, embark on a road trip back to their hometown after one of them learns his estranged father has died.","Comedy, Drama"
Incarnate,"A scientist with the ability to enter the subconscious minds of the possessed must save a young boy from the grips of a demon with powers never seen before, while facing the horrors of his past.","Horror, Thriller"
Little Black Book,"A woman snoops through her boyfriend's palm pilot and reveals his former girlfriends, which causes her to question why they're still listed in his little black book.","Comedy, Drama, Romance"
[REC] 4: Apocalypse,"An ill-fated television reporter is rescued and sent on a voyage across the ocean, but she is followed by the deadly virus that has plagued her and numerous others.","Horror, Thriller"
Moms' Night Out,"Hardworking mom Allyson has a crazy night out with her friends, while their husbands watch their children.",Comedy
Twisted,"Jessica, whose father killed her mother and committed suicide, is a police officer. While investigating a murder, she finds herself in the center of her own investigation, when her former lovers start being murdered.","Crime, Drama, Mystery"
Once Upon a Time in Venice,A Los Angeles detective seeks out the ruthless gang that stole his dog.,"Action, Comedy"
Krrish 3,"Krrish and his scientist father must save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.","Action, Adventure, Sci-Fi"
Demonic,A police officer and a psychologist investigate the deaths of five people who were killed while trying to summon ghosts.,"Horror, Mystery, Thriller"
Ready to Rumble,Two slacker wrestling fans are devastated by the ousting of their favorite character by an unscrupulous promoter.,"Comedy, Sport"
The Haunting in Connecticut 2: Ghosts of Georgia,"A young family moves into a historic home in Georgia, only to learn they are not the house's only inhabitants. Soon they find themselves in the presence of a secret rising from underground and threatening to bring down anyone in its path.","Drama, Horror, Mystery"
The Jungle Book 2,"Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild.","Animation, Adventure, Comedy"
The Final,An awkward student with a deadly vendetta leads a group of outcasts who plot to avenge the years of humiliation they faced by the popular students at Hohn High School.,"Drama, Horror, Thriller"
Flipper,A teenage boy sent to spend the summer with his eccentric uncle on the Florida coast befriends a remarkable dolphin and takes on local bad guys who are polluting the water.,"Adventure, Family"
Nine Lives,A stuffy businessman finds himself trapped inside the body of his family's cat.,"Comedy, Drama, Family"
A-X-L,"A.X.L. is a top-secret, robotic dog who develops a special friendship with Miles and will go to any length to protect his new companion.","Action, Adventure, Drama"
Blood Creek,A man and his brother on a mission of revenge become trapped in a harrowing occult experiment dating back to the Third Reich.,Horror
The Other Side of the Door,"After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.","Horror, Thriller"
The New Daughter,"A single father moves his two children to rural South Carolina, only to watch his daughter exhibit increasingly strange behavior.","Horror, Thriller"
Contracted,"After being drugged and raped at a party, a young woman contracts what she thinks is an STD; but, it's actually something much worse.","Drama, Horror, Thriller"
Unaccompanied Minors,A group of unaccompanied minors bond while snowed in at the midwestern Hoover International Airport during the holiday season and ultimately create a makeshift holiday themselves.,"Adventure, Comedy, Family"
Go with Me,An ex-logger comes to the aid of a woman who returns to her hometown in the Pacific Northwest and finds herself harassed and stalked by a former cop turned crime lord.,Thriller
Eight Crazy Nights,"Davey Stone, an alcoholic with a criminal record, is sentenced to community service under the supervision of an elderly referee. Davey is then faced with trying to reform and abandon his bad habits.","Animation, Comedy, Musical"
Woman on Top,"Brazilian chef Isabella Oliveira moves to San Francisco when her husband, frustrated by her motion sickness, cheats on her.","Comedy, Fantasy, Romance"
Santa's Slay,"Santa Claus is actually a demon who lost a bet with an Angel, so he becomes the giver of toys and happiness. But when the bet is off, he returns to his evil ways.","Comedy, Fantasy, Horror"
Into the Grizzly Maze,Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.,"Action, Adventure, Drama"
2001 Maniacs,"Eight college students travelling to Florida for Spring Break stumble into a remote town in Georgia, where they are set upon by the residents.","Comedy, Horror"
Post Grad,"Ryden Malby graduates from college and is forced to move back into her childhood home with her eccentric family, while she attempts to find a job, the right guy, and just a hint of where her life is headed.","Comedy, Romance"
House of 9,"Nine strangers, with no apparent connection between them are abducted: drugged, kidnapped and sealed in a house together.","Drama, Horror, Mystery"
Pink Cadillac,"Skip tracer Tommy looks for bail-jumper Lou Ann. Her crime is marrying Roy, who left counterfeit money in their mobile home and got her arrested. She leaves Roy in his pink Cadillac full of money. His psycho friends want their money back.","Action, Comedy, Crime"
The Brothers Solomon,"A pair of well-meaning, but socially inept brothers try to find their perfect mates in order to provide their dying father with a grandchild.",Comedy
Bangkok Dangerous,A hitman who's in Bangkok to pull off a series of jobs violates his personal code when he falls for a local woman and bonds with his errand boy.,"Action, Crime, Thriller"
I Love Trouble,Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.,"Action, Comedy, Romance"
Blood & Chocolate,A teenage werewolf is torn between honoring her family's secret and her love for a man.,"Drama, Fantasy, Horror"
Tim and Eric's Billion Dollar Movie,"Two guys get a billion dollars to make a movie, only to watch their dream run off course. In order to make the money back, they then attempt to revitalize a failing shopping mall.",Comedy
Replicant,"Scientists create a genetic clone of a serial killer in order to help catch the killer, teaming up with two cops.","Action, Sci-Fi, Thriller"
Radhe Shyam,"In 1976, Vikramaditya, a palmist and disciple of Paramahamsa, predicts to Indian Prime Minsiter Indira Gandhi that soon she will declare emergency in the country. The prediction comes true ... See full summary »","Drama, Romance"
Celtic Pride,Two over-loyal Celtic fans kidnap their opponent's star player in order to guarantee their team the championship.,"Comedy, Sport"
Wrecked,A man wakes in a car wreck at the bottom of a ravine must overcome incredible odds to survive.,"Adventure, Drama, Mystery"
Infini,"An elite 'search and rescue' team transport onto an off-world mining-facility to rescue Whit Carmichael, the lone survivor of a biological outbreak.","Horror, Sci-Fi, Thriller"
Edison,"Upon discovering a den of corrupt policemen, a fresh-faced journalist makes shaky allies in a jaded reporter and investigator for a powerful district attorney.","Action, Crime, Drama"
The Super,A man becomes the superintendent of a large New York City apartment building where people mysteriously go missing.,"Horror, Thriller"
Meeting Evil,"John is taken on a murder-fueled ride by a mysterious stranger that transforms the weak-willed, disillusioned husband and father into a desperate hero willing to go to any length to protect his family.","Crime, Drama, Mystery"
Visions,"After moving to a vineyard to start a new life with her husband, a pregnant woman begins to experience terrifying visions.","Horror, Mystery"
The Dark,"In mourning over the tragic drowning of their daughter Sarah, James and Adèle are visited by Ebrill, a young girl who claims she died 60 years ago - and bears a startling resemblance to Sarah.","Drama, Fantasy, Horror"
Housefull 2,A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,"Action, Comedy, Drama"
Race 2,Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,"Action, Crime, Thriller"
A Christmas Prince: The Royal Wedding,"A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?","Drama, Romance"
Chhapaak,"The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit.","Biography, Drama"
Our Story,"A man who has been wronged, whose children, wife, home, and future have been taken from him - A lonely and helpless woman left alone with her children. An old love that was a victim of the wrong time and the wrong case.",Drama
The Way to Paradise,"An early thirties father, Mick, caught in a very lucrative drug dealing lifestyle with a raunchy drug abusing ex-wife, Mandy, who blackmails him for money and uses their son, Jake, as leverage.","Action, Comedy, Thriller"
Fast & Furious 9,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,"Action, Crime, Thriller"
Morbius,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.","Action, Adventure, Horror"
Lie with Me,"An outgoing, sexually aggressive young woman meets and begins a torrid affair with an equally aggressive young man in which their affair begins to bring a strain on their personal lives.","Drama, Romance"
Transformers: The Last Knight,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.","Action, Adventure, Sci-Fi"
Prey for the Devil,A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.,"Horror, Thriller"
The Mummy: Tomb of the Dragon Emperor,"In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago.","Action, Adventure, Fantasy"
Resident Evil: Welcome to Raccoon City,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.","Action, Horror, Sci-Fi"
Legion,"When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.","Action, Fantasy, Horror"
Spawn,"An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil.","Action, Drama, Horror"
Hellboy,"Caught between the worlds of the supernatural and human, Hellboy battles an ancient sorceress bent on revenge.","Action, Adventure, Fantasy"
Ghost Rider,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.","Action, Fantasy, Thriller"
Monster Hunter,"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.","Action, Adventure, Fantasy"
Queen of the Damned,"In this loose sequel to Interview with the Vampire: The Vampire Chronicles (1994), the vampire Lestat becomes a rock star whose music wakes up the equally beautiful and monstrous queen of all vampires.","Drama, Fantasy, Horror"
Tom & Jerry: The Movie,"A chaotic battle ensues between Jerry Mouse, who has taken refuge in the Royal Gate Hotel, and Tom Cat, who is hired to drive him away before the day of a big wedding arrives.","Animation, Adventure, Comedy"
Scooby-Doo 2: Monsters Unleashed,The Mystery Inc. gang must save Coolsville from an attack of their past monsters brought to life by an evil masked figure trying to take down the gang.,"Adventure, Comedy, Family"
Alvin and the Chipmunks,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.,"Animation, Adventure, Comedy"
Intrusion,"A woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion.","Drama, Thriller"
The Bad Batch,"In a desert dystopia, a young woman is kidnapped by cannibals.","Action, Horror, Mystery"
Independence Day: Resurgence,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?","Action, Adventure, Sci-Fi"
Truth or Dare,A harmless game of Truth or Dare among friends turns deadly when someone - or something - begins to punish those who tell a lie or refuse the dare.,"Horror, Thriller"
Asterix at the Olympic Games,Astérix and Obélix compete at the Olympics in order to help their friend Lovesix marry Princess Irina. Brutus also tries to win the game with his own team and get rid of his father Julius Caesar.,"Adventure, Comedy, Family"
xXx: Return of Xander Cage,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.","Action, Adventure, Thriller"
The Curse of La Llorona,"Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm.","Horror, Mystery, Thriller"
The 5th Wave,"Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.","Action, Adventure, Sci-Fi"
Spiral: From the Book of Saw,"A criminal mastermind unleashes a twisted form of justice in Spiral, the terrifying new chapter from the book of Saw.","Crime, Drama, Horror"
Mighty Morphin Power Rangers: The Movie,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.","Action, Adventure, Family"
Romance,"Frustrated by the lack of intimacy in her relationship, a young schoolteacher goes through a series of intimidating and often violent sexual partners.","Drama, Romance"
Hubie Halloween,"Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Halloween.","Comedy, Mystery"
SAS: Red Notice,A small army of well trained criminals led by Grace Lewis have hijacked a train deep beneath the English Channel.,"Action, Thriller"
Flatliners,"Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife.","Drama, Horror, Mystery"
Tall Girl,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.","Comedy, Drama, Family"
Lost in Space,The Robinson family was going into space to fight for a chance for humanity. Now they are fighting to live long enough to find a way home.,"Action, Adventure, Family"
A Good Day to Die Hard,"John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.","Action, Thriller"
Big Momma's House,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.","Action, Comedy, Crime"
Color of Night,"A color-blind psychiatrist is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that he begins having intense sexual encounters with.","Drama, Mystery, Romance"
Wolf,A high-concept arthouse drama about a boy who believes he is a wolf.,"Drama, Mystery, Thriller"
Doom,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.,"Action, Horror, Sci-Fi"
Paranormal Activity: Next of Kin,"Margot, a young woman who was abandoned by her mother as a baby, travels to a secluded Amish community with a documentary film crew seeking answers about her mother and extended family.","Horror, Mystery, Thriller"
Shutter,"A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.","Horror, Mystery, Thriller"
